family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2C8,,,,,36,ATTNSOM,26,,,strict_exact_clean
CYP2C8,,,,,36,MetXBioDB,10,,,strict_exact_clean
CYP2C8,,,,,36,,,attnsom_family,26,strict_exact_clean
CYP2C8,,,,,36,,,metxbiodb_family,10,strict_exact_clean
CYP2C8,single_exact,24,,,36,,,,,strict_exact_clean
CYP2C8,multi_exact,12,,,36,,,,,strict_exact_clean
CYP2C8,,,26,exact_agreement,36,,,,,strict_exact_clean
CYP2C8,,,10,single_source,36,,,,,strict_exact_clean
CYP2C8,,,,,43,ATTNSOM,40,,,tiered_multisite_eval
CYP2C8,,,,,43,CYP_DBs_external,3,,,tiered_multisite_eval
CYP2C8,,,,,43,,,attnsom_family,43,tiered_multisite_eval
CYP2C8,tiered_multisite,43,,,43,,,,,tiered_multisite_eval
CYP2C8,,,36,partial_agreement_union,43,,,,,tiered_multisite_eval
CYP2C8,,,6,conflict_preserved,43,,,,,tiered_multisite_eval
CYP2C8,,,1,exact_agreement,43,,,,,tiered_multisite_eval
CYP2C8,,,,,11,MetXBioDB,11,,,broad_region_aux
CYP2C8,,,,,11,,,metxbiodb_family,11,broad_region_aux
CYP2C8,broad_region,11,,,11,,,,,broad_region_aux
CYP2C8,,,11,conflict_preserved,11,,,,,broad_region_aux
CYP2C8,,,,,176,ATTNSOM,140,,,conflict_audit
CYP2C8,,,,,176,MetXBioDB,24,,,conflict_audit
CYP2C8,,,,,176,CYP_DBs_external,12,,,conflict_audit
CYP2C8,,,,,176,,,attnsom_family,152,conflict_audit
CYP2C8,,,,,176,,,metxbiodb_family,24,conflict_audit
CYP2C8,single_exact,70,,,176,,,,,conflict_audit
CYP2C8,multi_exact,52,,,176,,,,,conflict_audit
CYP2C8,tiered_multisite,43,,,176,,,,,conflict_audit
CYP2C8,broad_region,11,,,176,,,,,conflict_audit
CYP2C8,,,103,partial_agreement_union,176,,,,,conflict_audit
CYP2C8,,,36,conflict_preserved,176,,,,,conflict_audit
CYP2C8,,,27,exact_agreement,176,,,,,conflict_audit
CYP2C8,,,10,single_source,176,,,,,conflict_audit
