family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2A6,,,,,80,ATTNSOM,68,,,strict_exact_clean
CYP2A6,,,,,80,MetXBioDB,12,,,strict_exact_clean
CYP2A6,,,,,80,,,attnsom_family,68,strict_exact_clean
CYP2A6,,,,,80,,,metxbiodb_family,12,strict_exact_clean
CYP2A6,single_exact,53,,,80,,,,,strict_exact_clean
CYP2A6,multi_exact,27,,,80,,,,,strict_exact_clean
CYP2A6,,,45,partial_agreement_union,80,,,,,strict_exact_clean
CYP2A6,,,25,exact_agreement,80,,,,,strict_exact_clean
CYP2A6,,,10,single_source,80,,,,,strict_exact_clean
CYP2A6,,,,,24,ATTNSOM,23,,,tiered_multisite_eval
CYP2A6,,,,,24,CYP_DBs_external,1,,,tiered_multisite_eval
CYP2A6,,,,,24,,,attnsom_family,24,tiered_multisite_eval
CYP2A6,tiered_multisite,24,,,24,,,,,tiered_multisite_eval
CYP2A6,,,23,partial_agreement_union,24,,,,,tiered_multisite_eval
CYP2A6,,,1,conflict_preserved,24,,,,,tiered_multisite_eval
CYP2A6,,,,,10,MetXBioDB,10,,,broad_region_aux
CYP2A6,,,,,10,,,metxbiodb_family,10,broad_region_aux
CYP2A6,broad_region,10,,,10,,,,,broad_region_aux
CYP2A6,,,10,conflict_preserved,10,,,,,broad_region_aux
CYP2A6,,,,,135,ATTNSOM,99,,,conflict_audit
CYP2A6,,,,,135,MetXBioDB,24,,,conflict_audit
CYP2A6,,,,,135,CYP_DBs_external,12,,,conflict_audit
CYP2A6,,,,,135,,,attnsom_family,111,conflict_audit
CYP2A6,,,,,135,,,metxbiodb_family,24,conflict_audit
CYP2A6,single_exact,56,,,135,,,,,conflict_audit
CYP2A6,multi_exact,45,,,135,,,,,conflict_audit
CYP2A6,tiered_multisite,24,,,135,,,,,conflict_audit
CYP2A6,broad_region,10,,,135,,,,,conflict_audit
CYP2A6,,,68,partial_agreement_union,135,,,,,conflict_audit
CYP2A6,,,36,conflict_preserved,135,,,,,conflict_audit
CYP2A6,,,21,exact_agreement,135,,,,,conflict_audit
CYP2A6,,,10,single_source,135,,,,,conflict_audit
