benchmarkable,broad_region_rows,family,strict_exact_clean_rows,tiered_multisite_rows,total_rows,trainable
1,23,CYP1A2,67,100,337,1
1,10,CYP2A6,35,24,139,1
1,17,CYP2B6,38,38,198,1
1,13,CYP2C19,62,60,259,1
1,11,CYP2C8,36,43,176,1
1,14,CYP2C9,77,61,275,1
1,15,CYP2D6,60,72,327,1
1,16,CYP2E1,40,38,190,1
1,36,CYP3A4,145,194,643,1
