family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP1A2,,,,,67,ATTNSOM,53,,,strict_exact_clean
CYP1A2,,,,,67,MetXBioDB,14,,,strict_exact_clean
CYP1A2,,,,,67,,,attnsom_family,53,strict_exact_clean
CYP1A2,,,,,67,,,metxbiodb_family,14,strict_exact_clean
CYP1A2,single_exact,48,,,67,,,,,strict_exact_clean
CYP1A2,multi_exact,19,,,67,,,,,strict_exact_clean
CYP1A2,,,53,exact_agreement,67,,,,,strict_exact_clean
CYP1A2,,,14,single_source,67,,,,,strict_exact_clean
CYP1A2,,,,,100,ATTNSOM,97,,,tiered_multisite_eval
CYP1A2,,,,,100,CYP_DBs_external,3,,,tiered_multisite_eval
CYP1A2,,,,,100,,,attnsom_family,100,tiered_multisite_eval
CYP1A2,tiered_multisite,100,,,100,,,,,tiered_multisite_eval
CYP1A2,,,94,partial_agreement_union,100,,,,,tiered_multisite_eval
CYP1A2,,,6,conflict_preserved,100,,,,,tiered_multisite_eval
CYP1A2,,,,,23,MetXBioDB,23,,,broad_region_aux
CYP1A2,,,,,23,,,metxbiodb_family,23,broad_region_aux
CYP1A2,broad_region,23,,,23,,,,,broad_region_aux
CYP1A2,,,23,conflict_preserved,23,,,,,broad_region_aux
CYP1A2,,,,,325,ATTNSOM,256,,,conflict_audit
CYP1A2,,,,,325,MetXBioDB,43,,,conflict_audit
CYP1A2,,,,,325,CYP_DBs_external,26,,,conflict_audit
CYP1A2,,,,,325,,,attnsom_family,282,conflict_audit
CYP1A2,,,,,325,,,metxbiodb_family,43,conflict_audit
CYP1A2,single_exact,121,,,325,,,,,conflict_audit
CYP1A2,tiered_multisite,100,,,325,,,,,conflict_audit
CYP1A2,multi_exact,81,,,325,,,,,conflict_audit
CYP1A2,broad_region,23,,,325,,,,,conflict_audit
CYP1A2,,,192,partial_agreement_union,325,,,,,conflict_audit
CYP1A2,,,78,conflict_preserved,325,,,,,conflict_audit
CYP1A2,,,41,exact_agreement,325,,,,,conflict_audit
CYP1A2,,,14,single_source,325,,,,,conflict_audit
